actdely_dt,omstracknum,ordnum,origin_zip,dest_zip,shipnode,channel,carrier_scac,reqship_dt,sysship_dttm,sysship_dt,estdely_dt,actdely_month,estdely_week,delivered_late,xcpnscan1_desc,xcpnscan2_desc,xcpnscan3_desc,xcpnscan4_desc,planned_transit,carrier_pub_tnt,units,transit_override,carrier_xcp,guest_xcp,holiday_xcp,weather_xcp,uncontrol_xcp,order_dttm,late_ship_business,node_on_time_ship,ots_rsd,post_release_inf,node_mnr,carrier_not_meet_tnt,carrier_defect,origin_defect,system_defect,uncontrollable_defect,dpo_delivered_late
2019-02-03,420633799261290982841228231355,9150298208514,63011,63379,STR26,STR,USPS,2019-02-02,2019-02-02 14:16,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,3.0,N,N,N,N,N,N,2019-01-31,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420820709261290982834828535732,9122290399374,80033,82070,STR2021,STR,USPS,2019-02-02,2019-02-02 07:35,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,2.0,N,N,N,N,N,N,2019-02-01,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420900259261290982927116882240,9150523872793,90746,90025,STR2026,STR,USPS,2019-02-02,2019-02-02 12:44,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-31,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420900359261290982844824768263,9150524377929,90230,90035,STR198,STR,USPS,2019-02-02,2019-02-01 13:58,2019-02-01,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-02-01,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
2019-02-03,420900359261290982844827317772,9150523724418,90230,90035,STR198,STR,USPS,2019-02-03,2019-02-02 08:38,2019-02-02,2019-02-06,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-02-01,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420902929261290982927122030413,1050530526033,90746,90292,STR2026,STR,USPS,2019-02-02,2019-02-02 12:23,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,2.0,N,N,N,N,N,N,2019-02-01,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420904039261290982961921945899,3550512916260,90230,90403,STR2632,STR,USPS,2019-02-01,2019-02-01 13:54,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,Y,Node: On Time Ship,0,0,NULL,NULL,NULL,origin,NULL,NULL,N
2019-02-03,420907459274890982844811648130,9150523601060,90230,90745,STR198,STR,USPS,2019-02-02,2019-02-01 18:15,2019-02-01,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,2.0,N,N,N,N,N,N,2019-01-31,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
2019-02-03,420908069274890982896622337208,9150474342952,90650,90806,STR1340,STR,USPS,2019-02-02,2019-02-02 08:07,2019-02-02,2019-02-05,2019/01,201901,N, , , , ,1.0,1.0,1.0,N,N,N,N,N,N,2019-01-30,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
2019-02-03,420945089261290982834329078424,2050401880720,94541,94508,STR2185,STR,USPS,2019-02-01,2019-02-01 10:25,2019-02-01,2019-02-04,2019/01,201901,N, , , , ,1.0,1.0,3.0,N,N,N,N,N,N,2019-01-22,N,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,N
